# 0.00118547 806 479
x	y	fit
8942.61	17.9326	0.973519
8990.69	408.481	0.961465
9038.77	799.029	0.959014
2184.98	278.298	0.953359
297.39	6527.07	0.948424
9153.5	6527.07	0.947154
8663.43	148.115	0.941094
86.5033	17.9326	0.939227
2233.06	668.846	0.939158
9086.84	1189.58	0.937287
1857.72	17.9326	0.937145
9231.08	2361.22	0.936511
8384.25	278.298	0.936169
9192.29	4444.14	0.934884
9134.92	1580.12	0.934284
3628.95	17.9326	0.934236
9183	1970.67	0.93351
576.567	6396.88	0.933177
9105.42	6136.52	0.932445
1578.55	148.115	0.930777
8057	17.9326	0.930549
972.114	17.9326	0.929015
134.581	408.481	0.927718
9144.21	4053.6	0.927631
9057.34	5745.97	0.92759
7171.39	17.9326	0.926831
4514.56	17.9326	0.926668
6285.78	17.9326	0.925911
413.759	278.298	0.925781
5400.17	17.9326	0.925733
1299.37	278.298	0.925413
692.936	148.115	0.925169
1905.8	408.481	0.925112
7777.82	148.115	0.924996
9096.13	3663.05	0.924594
7498.64	278.298	0.923267
3956.2	278.298	0.923228
4235.38	148.115	0.922995
6892.21	148.115	0.922893
8711.51	538.663	0.922706
3677.02	408.481	0.922245
6006.6	148.115	0.922184
5120.99	148.115	0.922251
4841.81	278.298	0.922011
6613.03	278.298	0.921903
5727.42	278.298	0.921605
9048.05	3272.5	0.92105
9009.26	5355.42	0.921541
2281.14	1059.39	0.921155
8105.08	408.481	0.916245
8999.98	2881.95	0.914895
1183	6527.07	0.914382
1020.19	408.481	0.914411
741.014	538.663	0.914195
249.312	6136.52	0.913981
8961.19	4964.88	0.914208
8951.9	2491.4	0.913227
8267.89	6527.07	0.914032
1953.88	799.029	0.913147
4283.46	538.663	0.912115
7219.47	408.481	0.911768
8547.06	6396.88	0.911957
4562.63	408.481	0.911723
1626.62	538.663	0.911524
8913.11	4574.33	0.911492
6333.86	408.481	0.910799
182.659	799.029	0.910673
5448.25	408.481	0.910616
2068.61	6527.07	0.909643
2954.22	6527.07	0.90962
3869.33	1970.67	0.909838
1462.18	6396.88	0.909014
7382.28	6527.07	0.910068
3839.83	6527.07	0.908435
5611.05	6527.07	0.908477
6496.66	6527.07	0.908127
201.235	5745.97	0.907829
4725.44	6527.07	0.907961
8432.33	668.846	0.907586
2347.79	6396.88	0.907122
3590.16	2100.86	0.907943
3233.4	6396.88	0.906496
7825.9	538.663	0.906263
7661.45	6396.88	0.907715
461.836	668.846	0.905986
8759.59	929.211	0.905332
6775.84	6396.88	0.905818
4119.01	6396.88	0.905306
5890.23	6396.88	0.905694
5004.62	6396.88	0.905287
6940.29	538.663	0.903976
6054.68	538.663	0.903263
5169.07	538.663	0.903261
4004.28	668.846	0.903159
3725.1	799.029	0.901911
153.157	5355.42	0.901248
3310.98	2231.04	0.901757
47.7137	2100.86	0.900775
8.9241	4183.78	0.900602
2001.96	1189.58	0.899851
1068.27	799.029	0.899615
855.745	6266.7	0.89953
105.079	4964.88	0.89935
8826.24	6266.7	0.899222
230.736	1189.58	0.898234
1347.45	668.846	0.897901
8153.15	799.029	0.897775
57.0017	4574.33	0.897561
240.024	3663.05	0.897109
143.869	2881.95	0.896933
95.7913	2491.4	0.896338
191.947	3272.5	0.896118
4610.71	799.029	0.895669
7546.72	668.846	0.894328
3494	1319.76	0.894211
278.814	1580.12	0.893679
4889.89	668.846	0.893839
528.49	6006.34	0.893631
7267.54	799.029	0.893209
2050.04	1580.12	0.892953
6661.11	668.846	0.892908
8855.74	1710.31	0.892822
423.047	2751.77	0.892661
8778.16	5876.15	0.892734
5775.5	668.846	0.892614
384.257	4834.69	0.892312
6381.93	799.029	0.892346
5496.32	799.029	0.892187
8807.67	1319.76	0.891964
8903.82	2100.86	0.891618
336.179	4444.14	0.891204
3773.18	1189.58	0.891223
3542.08	1710.31	0.890827
326.891	1970.67	0.890526
374.969	2361.22	0.890318
288.102	4053.6	0.889666
3821.26	1580.12	0.889454
3359.06	2621.59	0.889904
8816.95	3793.23	0.888533
8865.03	4183.78	0.888719
789.092	929.211	0.887846
480.412	5615.79	0.887826
1674.7	929.211	0.887636
